VALUE,ABBREVIATION,,
ALLEY,ALLEY,,
AVENUE,AVE or AV,,
BOULEVARD,BLVD,,
BRIDGE,BR,,
CANYON,CYN,,
CENTER,CTR,,
CIRCLE,CIR,,
COURT,CT,,
CRESCENT,CRES,,
DRIVE,DR,,
EAST,E,,
EXPRESSWAY,EXPWY,,
FREEWAY,FWY,,
HIGHWAY,HWY,,
HILL,HILL,,
INFORMATION,INFO,,
INTERNATIONAL,INTL,,
ISLAND,ISL,,
JUNCTION,JCT,,
LANE,LN,,
LAKE,LK,,
LOOP,LP,,
MOUNT,MT,,
MOUNTAIN,MTN,,
NORTH,N,,
NATIONAL,NATL,,
NORTHEAST,NE,,
NORTHWEST,NW,,
NORTHWEST,NW,,
PARKWAY,PKWY,,
PLACE,PL,,
PLAZA,PLZ,,
PORT,PT,,
RIVER,R,,
ROAD,RD,,
ROUTE,RTE,,
 SQUARE,SQ,,
SOUTH,S,,
SOUTHEAST,SE,,
SOUTHWEST,SW,,
STREET,ST,,
TERRACE,TER,,
THRUWAY,THWY,,
TRAIL,TR,,
TURNPIKE,TPK,,
WAY,WAY,,
WEST,W,,
