OBJECTID,FILE_NAME,ITEM_NAME,COMBINED_TITLE_KWS_CB,ACOUSTIC,AMBIENT,CLASSICAL,DANCEEDM,FUNK,HIPHOPRAP,HOLIDAY,JAZZ,POP,PRODUCTION,RBSOUL,ROCK,REGGAE,WORLD
859378,000859378.mp3,christmas jingle bells jingle bells,",christmas jingle bells jingle bells,target, cool, ukelele, drum machine, fast, commercials, hip, fun, funky, synths, santa, christmas tree, winter, holiday, quirky, bouncy, jangle, sleigh bells, children, christmas song, jingle, jingle bells, bells, dashing, snow, laughing, giving, retail, commercial, tv commercial, holidays, children playing, christmas, merry christmas, toys, xmas, st  nick, sled, north pole, december, gifts, reindeer, rudolph, sleigh, old navy, publix, kroger, seasonal,total pop  target  commercial reworking of  jingle bells    fresh and funky with cool drum machines, synths, ukelele, acoustic guitars   if you like what you hear please consider giving this track a rating   thanks",1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47782478,047782478.wav,into the night (loop 01),"kso0102 kca0700,into the night  loop 01,thomas newman,affecting,ambiance,american beauty,ardent,bed track,drama,dramatic,emotional,emotive,excitable,fervent,film score,fragile,haunting,heart rending,heartwarming,hopeful,hot blooded,impa ioned,loving,melancholic,melancholy,melodramatic,minimal,moving,nostalgia,nostalgic,pa ionate,pathetic,personal story,piano,piano music,piano underscore,poignant,powerful,reflective,sensitive,sentimental,serene,soft,stirring,storytelling,temperamental,tempestuous,touching,tv drama,underscore,warm,wistful,piano music  repetitive piano patterns interweave through each other creating a reflective and pensive atmosphere  poignant and soulful, feelings of lo  and longing are evoked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52733174,052733174.wav,сheerful bully,"kso0103 kso0104,heerful bully,ape, bully, cheerful happy, commercial, fun, funny, joyful, light, playful, positive, uplifting,short funny rock  n  roll play  suitable for commercials  instruments  electric guitar, sax section, ba , drums",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88549547,088549547.wav,happy air incidental underscore with flute,"array,happy air incidental underscore with flute,bo a nova, 122 bpm bo a nova, 122 bpm, 122 beats per minute, f major, bo a nova in f major, 21st century, cello, double ba , drums, flute, piano, vibraphone, acoustic ba , flute solo, music for daring live t v  wildlife programs, latin, easy listening, underscore, instrumental, full track, music beds, infographics, busine , stylish, happy, acoustic piano,this cla ic music bed is medium to fast tempo, easy listening bo a nova  it has a light and smooth sound with discreetly featured playful and happy flute solo with background cello  ninstrumentation consists of piano, vibraphone, acoustic ba  and drums featuring playful and happy flute backed by background cello nit s a happy tempo at 122 bpm track in the key of f major, and the structure of the composition is 8 bar intro with a 32 bar chorus starting bar 9 ending at bar 40 which repeats 2 times  nthe acoustic incidental underscore in a happy mood, is suitable for projects needing incidental background music composed with medium energy  nthank you for listening and purchasing",4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0
61049087,061049087.wav,e cooke - a positive world (stinger 02),"kso0102,e cooke   a positive world  stinger 02,movement,optimistic,anxious,booming,calm,casual,cello,cheerful,commercial,corporate,easy going,feel good,free,guitar,happy,hopeful,hypnotic,innocent,inspirational,inspiring,mellow,motivational,moving,mystical,percu ion,piano,positive,powerful,quiet,romantic,sad,searching,sensitive,simple,soothing,strong,succe ,sweet,synth,travel,upbeat,uplifting,urban,warm,wholesome,a powerful, moving, strong and upbeat corporate track that starts with emotional cello and piano, then a drumbeat kicks in along with guitar and strings to create a large and optimistic sound",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
75987294,075987294.wav,heavy beat disco 120bpm short,",heavy beat disco 120bpm short,background,band,funk band,funky band,black,american,cool beat,ba  guitar,beat,city,club,cool,groovy,dance,dj,drums,evening,funk,funky,groove,improvisation,improvised,instrumental,jazz,jazz funk,late night,light,media,music,r b,relaxed,rhythm and blues,smooth,soft,solo,soothing,soul,soundtrack,underscore,urban,soulful,african american,hip hop,beats,funky groove,cool groove,night,funk dance soul r b influenced track  solid backbeat from a ba    drums rhythm section over funky keyboards and guitars  designed to get your foot tapping and onto the dance floor  suitable for all content and media where an uptempo positive underscore   soundtrack   background music track is required  for drama, documentary, news features etc  and themes such as fitne , fashion, youth, urban, city, metropolitan, holidays, fun and social interaction including gay and straight culture  suitable for concepts such as    r nfunk, jazz funk, jazzy, jazz, groove, funky, cool, soul, r   b, rhythm and blues, african american, black, groovy, urban, dance, club, night, dancing, sexy, sex, band, group, rhythmic, bluesy, pop, music, soundtrack, underscore, website, score, scored, production, commerce, commercial, advertising music, commercial music, background music, film music, film score, tv score, disco,",0.0,0.0,0.0,6.0,7.0,1.0,0.0,4.0,1.0,9.0,5.0,0.0,0.0,0.0
48062800,048062800.wav,this is my dream (instrumental),",this is my dream  instrumental,adult contemporary, ambition, aspiration, auspicious, beautiful, celine dion, dreamer, healing, hope, hopeful, inner beauty, inspirational, inspired, memorial, pa ion, power ballad, purpose, reach for the stars, reflective, romantic, serene, solo piano, story, succe , triumphant, vane a williams, wedding, whitney houston, winning, achievement, ballad, determined, dreamy, healing, hopeful, hospital, light, piano, proud, quiet, recovery, reflective, relaxed, romantic, searching, sentimental, serene, succe , sweet, tranquil,inspirational power ballad   dreams do come true   believe in yourself and reach for the stars",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12455706,012455706.wav,uplifting piano celebration,"kso0102,uplifting piano celebration,celebration, happy, cheerful, festive, joyful, joyous, upbeat, uplifting, carefree, fun, lighthearted, refreshing, light, succe , delighted, optimistic, piano, playful, positive, adventure, exhilarating, overjoyed, achievement, sunny, inspirational, idcore,happy, upbeat, positive, acoustic piano with a lively, joyous feel  weddings, holidays, reunions  there he goes smiling again overjoyed with his tremendously good fortune",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40917756,040917756.wav,oriental orchestra,"kso0101,oriental orchestra,acoustic ba , cello, gu aheng, japanese, koto, orchestral, oriental, piano, synth, cinematic, composition, documentary, dramatic, film, movies, idcore,oriental orchestral composition  acoustic ba , cello, piano, and a koto synth and a gu aheng related to japanese koto giving this track a authentic sound   this cut would suit dramatic, cinematic, film, documentary, movies and original music works  our music is ideal for youtube profit sharing program as well",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44686217,044686217.wav,mystery 140bpm b,"kso0103,mystery 140bpm b,electro, dance, pop, party, electronic, club, dance pop, 90s pop, dance pop, electro pop, fast, electric, hot, pulsing, medium, 140 0 bpm, musicbeds, idcore,musicbeds   fast electronic dance musicbed with hot lead synth and pulsing ba   no lead synth version",0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
44688561,044688561.wav,more than forever 107bpm d,"kso0102,more than forever 107bpm d,country, love, ballad, peaceful, gentle, love song, sweet, emotional, lovesong, for the lovers, need you now, antebellum, med, bright, soft, acoustic, electric, warm, medium, 107 0 bpm, musicbeds, idcore,musicbeds   warm pop ballad with acoustic guitar, soft e guitar, piano and small percu ion  drums only version",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44689061,044689061.wav,perfect party starter 128bpm c,"kso0103,perfect party starter 128bpm c,edm, ambient, lucky date, delay, drums, electric drums, dance drums, dance beat, beats, synth, synths, lead, lead synth, pad, synth pad, synth ba , ba , ba line, crowd, jump, jump up, dance, dancing, hands up, feel, feeling, good, party, fast, hard, electric, noisy, big, hot, 128 0 bpm, musicbeds, idcore,musicbeds   clubby electro with electric percu ion, sawing synths and bright drums  c version",0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52782275,052782275.wav,nordic landscapes,"kso0102,nordic landscapes,amazement, amazing, ambient, arctic, arctica, biosphere, emotional, emotive, introspection, introspective, landscapes, longing, melancholia, melancholic, melancholy, midnight sun, nature, nordic, nordic crime, north, nostalgic, odd, reflection, reflective, scandin, scandinavian ambient, scandinavian crime, sea, snow, snowy, sorrow, sorrowful, starry night, starry sky, strange, thoughtful, under the sea, under water, underwater, unique, vast, vista, winter, wintery, wonder,a deep, ambient, slowly moving, textural track  nostalgic, flowing, hazey  reflective   thoughtful  somewhat similar to the sound of   perhaps a slight scandinavian   nordic feel  melancholic and haunting",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58959724,058959724.wav,happy folk (stinger 02),"kso0102,happy folk  stinger 02,banjo, bluegra , bouncing, bouncy, bright, bubbly, care free, carefree, casual, cheerful happy, comedy, comedy country, comic, country, country life, festive, folksy, folky, fun, funny, funny country, happine , happy, happy country, happy days, horseback riding, joyful, jumping, optimistic, playful, positive, shopping, skipping, sweet, ukulele, uplifting, whimsical, whistle, whistling, wimsical,folksy and fun, happy and care free, a track with riffing banjo, whistling melody and light drums  touches on folk, nu folk and country  also available as an underscore version without the whistling",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
